filing_name,filing_date,district_court,exchange,ticker
"Morgan Stanley & Co., Inc. : Auction Rate Securities",03/25/2008,S.D. New York,New York SE,MS
UBS AG : Auction Rate Securities,03/21/2008,S.D. New York,New York SE,UBS
TD Ameritrade Holding Corporation : Auction Rate Securities,03/19/2008,S.D. New York,NASDAQ,AMTD
Wachovia Corporation : Auction Rate Securities,03/19/2008,S.D. New York,New York SE,WB
Nomura Asset Acceptance Corporation : Mortgage Pass-Through Certificates,03/18/2008,D. Massachusetts,Privately Traded,Privately Traded
The Charles Schwab Corporation : Schwab YieldPlus Funds Investor Shares or Schwab YieldPlus Funds Select Shares,03/18/2008,N.D. California,NASDAQ,SWYPX
"WellPoint, Inc.",03/18/2008,S.D. Indiana,New York SE,WLP
Deutsche Bank AG : Auction Rate Securities,03/17/2008,S.D. New York,New York SE,DB
NeuroMetrix Inc.,03/17/2008,D. Massachusetts,NASDAQ,NURO
The Bear Stearns Companies Inc.,03/17/2008,S.D. New York,New York SE,BSC
Darden Restaurants Inc.,03/13/2008,M.D. Florida,New York SE,DRI
Michael Baker Corporation,03/13/2008,W.D. Pennsylvania,American SE,BKR
Vertex Pharmaceuticals Incorporated,03/13/2008,D. Massachusetts,NASDAQ,VRTX
Societe Generale (SocGen),03/12/2008,S.D. New York,OTC-BB,SCGLY.PK
"The PMI Group, Inc.",03/12/2008,N.D. California,New York SE,PMI
"Force Protection, Inc.",03/10/2008,D. South Carolina,NASDAQ,FRPT
Camtek Ltd.,03/07/2008,N.D. California,NASDAQ,CAMT
"MF Global, Ltd.",03/06/2008,S.D. New York,New York SE,MF
"EnerNOC, Inc.",03/04/2008,D. Massachusetts,NASDAQ,ENOC
"The Maximum Financial Group, Inc.",03/04/2008,E.D. Michigan,Privately Traded,Privately Traded
Wachovia Corporation,02/29/2008,S.D. New York,Undetermined,Undetermined
"Superior Offshore International, Inc.",02/28/2008,S.D. Texas,NASDAQ,DEEP
Swiss Reinsurance Company,02/27/2008,S.D. New York,Other Foreign,RUKN
Lehman Brothers Holdings Inc. :  Equity and Debt Securities,02/22/2008,S.D. New York,New York SE,LEH
Charys Holding Company,02/20/2008,N.D. Georgia,OTC-BB,CHYS
"Opnext, Inc.",02/20/2008,D. New Jersey,NASDAQ,OPXT
Morgan Stanley,02/12/2008,S.D. New York,New York SE,MS
"Orion Energy Systems, Inc.",02/11/2008,S.D. New York,NASDAQ,OESX
"SiRF Technology Holdings, Inc.",02/08/2008,N.D. California,NASDAQ,SIRF
"Maxim Integrated Products, Inc.",02/06/2008,N.D. California,NASDAQ,MXIM
SLM Corporation (a/k/a Sallie Mae),01/31/2008,S.D. New York,New York SE,SLM
"Municipal Mortgage & Equity, LLC",01/30/2008,D. Maryland,New York SE,MMA
"SunOpta, Inc.",01/28/2008,S.D. New York,NASDAQ,STKL
"American Dental Partners, Inc.",01/25/2008,D. Massachusetts,NASDAQ,ADPI
Levitt Corporation,01/25/2008,S.D. Florida,New York SE,LEV
Panera Bread Company,01/25/2008,E.D. Missouri,NASDAQ,PNRA
"TeleTech Holdings, Inc.",01/25/2008,S.D. New York,NASDAQ,TTEC
National City Corporation,01/24/2008,N.D. Ohio,New York SE,NCC
"WCI Communities, Inc.",01/23/2008,S.D. Florida,Privately Traded,Privately Traded
Centerline Holding Company,01/18/2008,S.D. New York,New York SE,CHC
Schering-Plough Corporation,01/18/2008,D. New Jersey,New York SE,SGP
"Ambac Financial Group, Inc.",01/16/2008,S.D. New York,New York SE,ABK
"ShoreTel, Inc.",01/15/2008,N.D. California,NASDAQ,SHOR
Cellcyte Genetics Corporation,01/14/2008,W.D. Washington,OTC-BB,CCYG
"Nexstar Communications, LLC and Other Defendant Entities",01/14/2008,M.D. Florida,Privately Traded,Privately Traded
"Interactive Brokers Group, Inc.",01/11/2008,S.D. New York,NASDAQ,IBKR
"MBIA, Inc.",01/11/2008,S.D. New York,New York SE,MBI
"International Coal Group, Inc.",01/07/2008,S.D. West Virginia,New York SE,ICO
Comcast Corporation,01/03/2008,E.D. Pennsylvania,NASDAQ,CMCSA
"Basin Water, Inc.",12/27/2007,C.D. California,NASDAQ,BWTR
Huntington Bancshares Incorporated,12/19/2007,S.D. Ohio,NASDAQ,HBAN
"Ulta Salon, Cosmetics & Fragrances, Inc.",12/17/2007,N.D. Illinois,NASDAQ,ULTA
"Unico, Inc.",12/14/2007,S.D. California,OTC-BB,UCOI.OB
Navistar International Corporation,12/13/2007,N.D. Illinois,New York SE,NAVZ
Smith & Wesson Holding Corporation,12/13/2007,D. Massachusetts,NASDAQ,SWHC
UBS AG,12/13/2007,S.D. New York,New York SE,UBS
"Zumiez, Inc.",12/10/2007,W.D. Washington,NASDAQ,ZUMZ
"Security Capital Assurance, Ltd.",12/07/2007,S.D. New York,New York SE,SCA
"Morgan Asset Management, Inc. : Regions Morgan Keegan Select Funds",12/06/2007,W.D. Tennessee,Open-end Fund,Open-end Fund
"Genesco, Inc.",12/05/2007,M.D. Tennessee,New York SE,GCO
"VeriFone Holdings, Inc.",12/04/2007,N.D. California,New York SE,PAY
HomeBanc Corporation,11/30/2007,N.D. Georgia,Pink Sheets,HMB
"Focus Media Holding, Ltd.",11/27/2007,S.D. New York,NASDAQ,FMCN
"Leap Wireless International, Inc.",11/27/2007,S.D. California,NASDAQ,LEAP
"Giant Interactive Group, Inc.",11/26/2007,S.D. New York,New York SE,GA
"ACA Capital Holdings, Inc.",11/21/2007,S.D. New York,New York SE,ACA
"China Expert Technology, Inc.",11/21/2007,S.D. New York,NASDAQ,CXTI
Federal Home Loan Mortgage Corporation (Freddie Mac),11/21/2007,N.D. Ohio,New York SE,FRE
"Home Solutions Of America, Inc.",11/21/2007,N.D. Texas,NASDAQ,HSOA
"Pzena Asset Management, Inc.",11/21/2007,S.D. New York,New York SE,PZN
"Virgin Mobile USA, Inc.",11/21/2007,D. New Jersey,New York SE,VM
"United Rentals, Inc.",11/19/2007,D. Connecticut,New York SE,URI
BP P.L.C.,11/15/2007,W.D. Washington,New York SE,BP
Syntax-Brillian Corporation,11/15/2007,D. Arizona,NASDAQ,BRLC
"Industrial Enterprises of America, Inc.",11/14/2007,S.D. New York,NASDAQ,IEAM
Wyeth,11/14/2007,S.D. New York,New York SE,WYE
"FX Energy, Inc.",11/13/2007,D. Utah,NASDAQ,FXEN
Sanofi-Aventis,11/13/2007,S.D. New York,New York SE,SNY
Flamel Technologies SA,11/09/2007,S.D. New York,NASDAQ,FLML
"Vodafone Group, PLC",11/09/2007,S.D. New York,New York SE,VOD
"Citigroup, Inc.",11/08/2007,S.D. New York,New York SE,C
"CROCS, Inc.",11/08/2007,D. Colorado,NASDAQ,CROX
"Medtronic, Inc.",11/08/2007,D. Minnesota,New York SE,MDT
"Office Depot, Inc.",11/05/2007,S.D. Florida,New York SE,ODP
"Washington Mutual, Inc.",11/05/2007,W.D. Washington,New York SE,WM
"Inland Western Retail Real Estate Trust, Inc.",11/01/2007,N.D. Illinois,Privately Traded,Privately Traded
"Isilon, Inc.",11/01/2007,W.D. Washington,NASDAQ,ISLN
"FormFactor, Inc.",10/31/2007,N.D. California,NASDAQ,FORM
"CBRE Realty Finance, Inc.",10/30/2007,D. Connecticut,New York SE,CBF
Countrywide Financial Corporation : Countrywide Series A and Series B Floating Rate Convertible Senior Debentures due 2037,10/30/2007,C.D. California,Undetermined,Undetermined
"Merrill Lynch & Co., Inc.",10/30/2007,S.D. New York,New York SE,MER
"WSB Financial Group, Inc.",10/30/2007,W.D. Washington,American SE,WSFG
"BankAtlantic Bancorp, Inc.",10/29/2007,S.D. Florida,New York SE,BBX
Ericsson LM Telephone Company,10/29/2007,S.D. New York,NASDAQ,ERIC
Novartis AG,10/29/2007,D. New Jersey,New York SE,NVS
"WellCare Health Plans, Inc.",10/26/2007,M.D. Florida,New York SE,WCG
"Piedmont Office Realty Trust, Inc. (f/k/a Wells Real Estate Investment Trust, Inc.)",10/25/2007,N.D. Georgia,Pink Sheets,WLRE.PK
Aetna Inc.,10/24/2007,E.D. Pennsylvania,New York SE,AET
"EnergyTec, Inc.",10/23/2007,N.D. Texas,Privately Traded,Privately Traded
"Fuwei Films (Holdings) Company, Ltd.",10/19/2007,S.D. New York,NASDAQ,FFHL
"Smart Online, Inc.",10/18/2007,M.D. North Carolina,OTC-BB,SOLN
"Bravo! Brands, Inc.",10/16/2007,S.D. Florida,OTC-BB,BRVO
"Dyadic International, Inc.",10/12/2007,S.D. Florida,American SE,DIL
Atlas Mining Company,10/11/2007,D. Idaho,OTC-BB,ALMI
LDK Solar Company Ltd.,10/09/2007,N.D. California,New York SE,LDK
"MRT, LLC",10/09/2007,S.D. Florida,Undetermined,Undetermined
"NutriSystem, Inc.",10/09/2007,E.D. Pennsylvania,NASDAQ,NTRI
"Sonic Solutions, Inc.",10/04/2007,N.D. California,NASDAQ,SNIC
"BigBand Networks, Inc.",10/03/2007,N.D. California,NASDAQ,BBND
E*TRADE Financial Corporation,10/02/2007,S.D. New York,NASDAQ,ETFC
Micrus Endovascular Corporation,10/02/2007,S.D. Florida,NASDAQ,MEND
"Harman International Industries, Inc.",10/01/2007,D. District Columbia,New York SE,HAR
"The Children's Place Retail Stores, Inc.",09/21/2007,S.D. New York,NASDAQ,PLCE
W Holding Company,09/21/2007,D. Puerto Rico,New York SE,WHI
"ORBCOMM, Inc.",09/20/2007,D. New Jersey,NASDAQ,ORBC
LJ International Inc.,09/19/2007,C.D. California,NASDAQ,JADE
"NetBank, Inc.",09/19/2007,N.D. Georgia,NASDAQ,NTBK
The Tube Media Corporation,09/19/2007,S.D. Florida,OTC-BB,TUBM
Care Investment Trust Inc.,09/18/2007,S.D. New York,New York SE,CRE
"Opteum, Inc.",09/17/2007,S.D. Florida,New York SE,OPX
"Hovnanian Enterprises, Inc.",09/14/2007,D. New Jersey,New York SE,HOV
LCA-Vision Inc.,09/13/2007,S.D. Ohio,NASDAQ,LCAV
Tarragon Corporation,09/11/2007,S.D. New York,NASDAQ,TARR
China Sunergy Company Limited,09/07/2007,S.D. New York,NASDAQ,CSUN
"UTStarcom, Inc.",09/04/2007,N.D. California,NASDAQ,UTSI
Jones Soda Company,09/03/2007,W.D. Washington,NASDAQ,JSDA
"The McGraw-Hill Companies, Inc.",08/28/2007,S.D. New York,New York SE,MHP
"Heelys, Inc.",08/27/2007,N.D. Texas,NASDAQ,HLYS
"Advanced Medical Optics, Inc.",08/24/2007,C.D. California,New York SE,EYE
"Tween Brands, Inc.",08/24/2007,S.D. Ohio,New York SE,TWB
"Thornburg Mortgage, Inc.",08/21/2007,D. New Mexico,New York SE,TMA
Scholastic Corporation,08/20/2007,S.D. New York,NASDAQ,SCHL
"Impac Mortgage Holdings, Inc.",08/17/2007,C.D. California,New York SE,IMH
"ValueClick, Inc.",08/17/2007,C.D. California,NASDAQ,VCLK
Standard Pacific Corporation,08/16/2007,C.D. California,New York SE,SPF
Radian Group Inc.,08/15/2007,E.D. Pennsylvania,New York SE,RDN
Countrywide Financial Corporation,08/14/2007,C.D. California,New York SE,CFC
Pall Corporation,08/14/2007,E.D. New York,New York SE,PLL
"Limelight Networks, Inc.",08/13/2007,D. Arizona,NASDAQ,LLNW
Northwest Biotherapeutics Inc.,08/13/2007,W.D. Washington,OTC-BB,NWBO
POZEN Inc.,08/10/2007,M.D. North Carolina,NASDAQ,POZN
Semtech Corporation,08/10/2007,C.D. California,NASDAQ,SMTC
"Motorola, Inc.",08/09/2007,N.D. Illinois,New York SE,MOT
"Qiao Xing Universal Telephone, Inc.",08/09/2007,S.D. New York,NASDAQ,XING
"Luminent Mortgage Capital, Inc.",08/08/2007,N.D. California,New York SE,LUM
"Health Management Associates, Inc.",08/02/2007,M.D. Florida,New York SE,HMA
RAIT Financial Trust,08/01/2007,E.D. Pennsylvania,New York SE,RAS
American Home Mortgage Investment Corporation,07/31/2007,E.D. New York,New York SE,AHM
"Himax Technologies, Inc. : American Depository Shares",07/30/2007,C.D. California,NASDAQ,HIMX
21st Century Holding Company,07/27/2007,S.D. Florida,NASDAQ,TCHC
GPC Biotech AG,07/26/2007,S.D. New York,NASDAQ,GPCB
Greenfield Online Inc.,07/24/2007,D. Connecticut,NASDAQ,SRVY
Moody's Corporation,07/19/2007,S.D. New York,New York SE,MCO
TXU Corporation,07/19/2007,N.D. Texas,New York SE,TXU
"Bioenvision, Inc.",07/13/2007,S.D. New York,NASDAQ,BIVN
Midway Games Inc.,07/06/2007,N.D. Illinois,New York SE,MWY
"Threshold Pharmaceuticals, Inc.",07/05/2007,N.D. California,NASDAQ,THLD
"American Capital Corporation : American Capital Corporation and Royal Palm Capital Group, Inc. Securities",06/29/2007,D. Nebraska,Privately Traded,ACCN.PK
Plexus Corporation,06/25/2007,E.D. Wisconsin,NASDAQ,PLXS
Bristol-Myers Squibb Company,06/20/2007,S.D. New York,New York SE,BMY
"Neurocrine Biosciences, Inc.",06/19/2007,S.D. California,NASDAQ,NBIX
"Keefe Bruyette & Woods, Inc. : Philadelphia Stock Exchange, Inc. stock",06/18/2007,E.D. Pennsylvania,Undetermined,Undetermined
Fremont General Corporation,06/15/2007,C.D. California,New York SE,FMT
GlaxoSmithKline PLC,06/11/2007,S.D. New York,New York SE,GSK
"Telik, Inc.",06/06/2007,S.D. New York,NASDAQ,TELK
Macy's Inc.  (f/k/a Federated Department Stores Inc.),06/04/2007,S.D. New York,New York SE,M
New York Stock Exchange,06/01/2007,S.D. New York,Undetermined,Undetermined
"Shuffle Master, Inc.",06/01/2007,D. Nevada,NASDAQ,SHFL
CDW Corporation,05/31/2007,N.D. Illinois,NASDAQ,CDWC
Archstone-Smith Trust,05/30/2007,D. Colorado,New York SE,ASN
First Home Builders of Florida,05/30/2007,M.D. Florida,Privately Traded,Privately Traded
Sterling Financial Corporation,05/25/2007,E.D. Pennsylvania,NASDAQ,SLFI
Dendreon Corporation,05/24/2007,W.D. Washington,NASDAQ,DNDN
Xinhua Finance Media Ltd.,05/22/2007,S.D. New York,NASDAQ,XFML
"BKF Capital Group, Inc.",05/18/2007,S.D. New York,New York SE,BKFG
"Netlist, Inc.",05/11/2007,C.D. California,NASDAQ,NLST
"Optionable, Inc.",05/11/2007,S.D. New York,OTC-BB,OPBL
Yahoo! Inc.,05/11/2007,N.D. California,NASDAQ,YHOO
"Sourcefire, Inc.",05/08/2007,D. Maryland,NASDAQ,FIRE
"Inphonic, Inc.",05/07/2007,D. District Columbia,NASDAQ,INPC
Allot Communications Ltd.,05/01/2007,S.D. New York,NASDAQ,ALLT
Converium Holding AG,05/01/2007,S.D. New York,Other Foreign,Other Foreign
"Occam Networks, Inc.",04/26/2007,C.D. California,NASDAQ,OCNW
"Medis Technologies, Ltd.",04/23/2007,S.D. New York,NASDAQ,MDTL
"Amgen, Inc.",04/17/2007,C.D. California,NASDAQ,AMGN
"Cutera, Inc.",04/17/2007,N.D. California,NASDAQ,CUTR
International Rectifier Corporation,04/17/2007,C.D. California,New York SE,IRF
"Toll Brothers, Inc.",04/17/2007,E.D. Pennsylvania,New York SE,TOL
"Viseon, Inc.",04/12/2007,N.D. Texas,OTC-BB,VSNIE
"Choice Hotels International, Inc.",04/11/2007,D. Maryland,New York SE,CHH
CheckFree Corporation,04/10/2007,N.D. Georgia,NASDAQ,CKFR
Gaming Partners International Corporation,04/05/2007,D. Nevada,NASDAQ,GPIC
"International Coal Group, Inc.",04/05/2007,S.D. West Virginia,New York SE,ICO
"Beazer Homes USA, Inc.",03/29/2007,N.D. Georgia,New York SE,BZH
Eli Lilly & Company,03/28/2007,E.D. New York,New York SE,LLY
"U.S. Auto Parts Network, Inc.",03/28/2007,C.D. California,NASDAQ,PRTS
"USANA Health Sciences, Inc.",03/26/2007,D. Utah,NASDAQ,USNA
Arotech Corporation,03/23/2007,E.D. New York,NASDAQ,ARTX
Metropolitan Life Insurance Company,03/22/2007,N.D. Indiana,Privately Traded,Privately Traded
"Coast Financial Holdings, Inc.",03/20/2007,M.D. Florida,NASDAQ,CFHI
Accredited Home Lenders Holding Company,03/16/2007,S.D. California,NASDAQ,LEND
RadioShack Corporation,03/16/2007,N.D. Texas,New York SE,RSH
"Monster Worldwide, Inc.",03/15/2007,S.D. New York,NASDAQ,MNST
"Wireless Facilities, Inc.",03/15/2007,S.D. California,NASDAQ,WFII
"WorldSpace, Inc.",03/15/2007,S.D. New York,NASDAQ,WRSP
IndyMac Bancorp Inc.,03/12/2007,C.D. California,New York SE,IMB
"OrthoClear Holdings, Inc.",03/12/2007,N.D. California,Privately Traded,Privately Traded
"Wells Real Estate Investment Trust, Inc.",03/12/2007,N.D. Georgia,Privately Traded,WLRE
"HCC Insurance Holdings, Inc.",03/08/2007,S.D. Texas,New York SE,HCC
"Washington Mutual, Inc. : WM Group of Funds",02/28/2007,S.D. California,Undetermined,Undetermined
Allied Capital Corporation,02/26/2007,D. District Columbia,New York SE,ALD
"NovaStar Financial, Inc.",02/23/2007,W.D. Missouri,New York SE,NFI
Openwave Systems Inc.,02/21/2007,S.D. New York,NASDAQ,OPWV
"Globalstar, Inc.",02/09/2007,S.D. New York,NASDAQ,GSAT
"Nuvelo, Inc.",02/09/2007,N.D. California,NASDAQ,NUVO
New Century Financial Corporation,02/08/2007,C.D. California,New York SE,NEW
"LG.Philips LCD Co., Ltd.",02/07/2007,S.D. New York,New York SE,LPL
"SAC Capital Management, LLC : Fairfax Financial Holdings Limited",02/07/2007,D. New Jersey,New York SE,FFH
"Quanta Capital Holdings, Ltd.",02/05/2007,S.D. New York,NASDAQ,QNTA
Metropolitan Life Insurance Company (MetLife) : State Street Research and/or CDC Nvest Funds and Others,01/31/2007,W.D. Oklahoma,Undetermined,Undetermined
Alvarion Limited,01/19/2007,N.D. California,NASDAQ,ALVR
Secure Computing Corporation,01/19/2007,N.D. California,NASDAQ,SCUR
"Hornbeck Offshore Services, Inc.",01/18/2007,E.D. Louisiana,New York SE,HOS
"Powerwave Technologies, Inc.",01/17/2007,C.D. California,NASDAQ,PWAV
"Sunrise Senior Living, Inc.",01/16/2007,D. District Columbia,New York SE,SRZ
Celestica Inc.,01/12/2007,S.D. New York,New York SE,CLS
Whitney Information Network Incorporated,12/28/2006,M.D. Florida,OTC-BB,RUSS
"AtriCure, Inc.",12/11/2006,S.D. New York,NASDAQ,ATRC
"Capital Group Companies, Inc. : American Funds",12/08/2006,C.D. California,Open-end Fund,Open-end Fund
"Technical Olympic USA, Inc.",12/08/2006,S.D. Florida,New York SE,TOA
Pfizer Inc.,12/06/2006,S.D. New York,New York SE,PFE
"WatchGuard Technologies, Inc.",12/06/2006,W.D. Washington,NASDAQ,WGRD
"TOP Tankers, Inc.",12/05/2006,S.D. New York,NASDAQ,TOPT
Hansen Natural Corporation,11/29/2006,C.D. California,NASDAQ,HANS
Brantley Capital Corporation,11/17/2006,N.D. Ohio,NASDAQ,BBDC
"Franklin Resources, Inc. : Franklin/Templeton Mutual Funds",11/16/2006,D. New Jersey,Undetermined,Undetermined
"Bodisen Biotech, Inc.",11/15/2006,S.D. New York,American SE,BBC
"Tier Technologies, Inc.",11/09/2006,E.D. Virginia,NASDAQ,TIER.PK
Pegasus Wireless Corporation,11/07/2006,S.D. Florida,NASDAQ,PGWC
"Ikanos Communications, Inc.",11/06/2006,S.D. New York,NASDAQ,IKAN
"Abercrombie & Kent, Inc.",11/03/2006,N.D. Illinois,Privately Traded,Privately Traded
"Westland Development Company, Inc.",11/03/2006,D. New Mexico,D. New Mexico,D. New Mexico
Apollo Group Inc.,11/02/2006,D. Arizona,NASDAQ,APOL
Warner Chilcott Limited,11/01/2006,S.D. New York,NASDAQ,WCRX
"Quest Software, Inc.",10/27/2006,C.D. California,NASDAQ,QSFT
Xethanol Corporation,10/23/2006,S.D. New York,American SE,XNL
BP Prudhoe Bay Royalty Trust,10/18/2006,W.D. Washington,New York SE,BPT
"Legg Mason, Inc.",10/16/2006,S.D. New York,New York SE,LM
"Presstek, Inc.",10/10/2006,D. New Hampshire,NASDAQ,PRST
"The Shaw Group, Inc.",10/10/2006,S.D. New York,New York SE,SGR
"TVIA, Inc.",10/06/2006,N.D. California,NASDAQ,TVIA
"Marvell Technology Group, Ltd.",10/05/2006,N.D. California,NASDAQ,MRVL
Loudeye Corporation,10/04/2006,W.D. Washington,NASDAQ,LOUD
Meade Instruments Corporation,09/27/2006,C.D. California,NASDAQ,MEAD
Encysive Pharmaceuticals Inc.,09/26/2006,S.D. Texas,NASDAQ,ENCY
Connetics Corporation,09/18/2006,N.D. California,NASDAQ,CNCT
"Jabil Circuit, Inc.",09/18/2006,M.D. Florida,New York SE,JBL
"Dell, Inc.",09/13/2006,W.D. Texas,NASDAQ,DELL
"ADVO, Inc.",09/11/2006,D. Connecticut,New York SE,AD
Natural Health Trends Corporation,09/11/2006,N.D. Texas,NASDAQ,BHIP
Aspen Technology Inc.,09/08/2006,D. Massachusetts,NASDAQ,AZPN
"RelationServe Media, Inc. (a/k/a SendTec, Inc.)",08/28/2006,S.D. Florida,Privately Traded,RSVM
"Apple Computer, Inc.",08/24/2006,N.D. California,NASDAQ,AAPL
Parlux Fragrances Incorporated,08/17/2006,S.D. Florida,NASDAQ,PARL
"Witness Systems, Inc.",08/14/2006,N.D. Georgia,NASDAQ,WITS
Broadcom Corporation,08/11/2006,C.D. California,NASDAQ,BRCM
IMAX Corporation,08/11/2006,S.D. New York,NASDAQ,IMAX
Zoran Corporation,08/10/2006,N.D. California,NASDAQ,ZRAN
Scottish Re Group Limited,08/02/2006,S.D. New York,New York SE,SCT
"SafeNet, Inc.",08/01/2006,S.D. New York,NASDAQ,SFNT
"Forward Industries, Inc.",07/31/2006,S.D. Florida,NASDAQ,FORD
Centene Corporation,07/28/2006,E.D. Missouri,New York SE,CNC
"FoxHollow Technologies, Inc.",07/28/2006,N.D. California,NASDAQ,FOXH
"Jos. A. Bank Clothiers, Inc.",07/24/2006,D. Maryland,NASDAQ,JOSB
Zale Corporation,07/19/2006,N.D. Texas,New York SE,ZLC
"Par Pharmaceutical Companies, Inc.",07/17/2006,D. New Jersey,New York SE,PRX
"Rambus, Inc.",07/17/2006,N.D. California,NASDAQ,RMBS
"Juniper Networks, Inc.",07/14/2006,N.D. California,NASDAQ,JNPR
"Ionatron, Inc.",07/12/2006,D. Arizona,NASDAQ,IOTN
"NPS Pharmaceuticals, Inc.",07/12/2006,D. Utah,NASDAQ,NPSP
Sunterra Corporation,07/12/2006,D. Nevada,NASDAQ,SNRR
KLA-Tencor Corporation,06/29/2006,N.D. California,NASDAQ,KLAC
"Terayon Communication Systems, Inc.",06/23/2006,N.D. California,NASDAQ,TERN
"Home Solutions of America, Inc.",06/20/2006,N.D. Texas,American SE,HOM
"Brooks Automation, Inc.",06/19/2006,D. Massachusetts,NASDAQ,BRKS
"Michaels Stores, Inc.",06/19/2006,N.D. Texas,New York SE,MIK
Antigenics Inc.,06/16/2006,D. New Mexico,NASDAQ,AGEN
"Herley Industries, Inc.",06/15/2006,E.D. Pennsylvania,NASDAQ,HRLY
Intermix Media Inc. : NewsCorp. Aquisition of Myspace.com,06/14/2006,C.D. California,American SE,MIX
ADE Corporation,06/13/2006,D. Massachusetts,NASDAQ,ADEX
InfoSonics Corporation,06/13/2006,S.D. California,American SE,IFO
CSK Auto Corporation,06/09/2006,D. Arizona,New York SE,CAO
"Xerium Technologies, Inc.",06/07/2006,D. Massachusetts,New York SE,XRM
Vonage Holdings Corporation,06/02/2006,D. New Jersey,New York SE,VG
Erie Family Life Insurance Company,06/01/2006,W.D. Pennsylvania,OTC-BB,ERIF.OB
American Tower Corporation,05/26/2006,D. Massachusetts,New York SE,AMT
Sears Holdings Corporation : Kmart Holding Corporation stock,05/26/2006,S.D. New York,NASDAQ,SHLD
"Image Innovations Holdings, Inc.",05/15/2006,S.D. New York,NASDAQ,IMGV.PK
"Home Depot, Inc.",05/12/2006,N.D. Georgia,New York SE,HD
Southern Farm Bureau Life Insurance Company : Plaintiff's Shareholders Corporation shares,05/11/2006,M.D. Florida,Privately Traded,Privately Traded
"Escala Group, Inc.",05/09/2006,S.D. New York,NASDAQ,ESCL
"UnitedHealth Group, Inc.",05/05/2006,D. Minnesota,New York SE,UNH
PXRE Group Limited,05/03/2006,S.D. New York,New York SE,PXT
"China Energy Savings Technology, Inc.",05/01/2006,S.D. New York,NASDAQ,CESV
"Discovery Laboratories, Inc.",05/01/2006,E.D. Pennsylvania,NASDAQ,DSCO
Vitesse Semiconductor Corporation,05/01/2006,C.D. California,NASDAQ,VTSS
"XM Satellite Radio Holdings, Inc.",05/01/2006,D. District Columbia,NASDAQ,XMSR
GlobeTel Communications Corporation,04/27/2006,S.D. Florida,American SE,GTE
"Newpark Resources, Inc.",04/21/2006,E.D. Louisiana,New York SE,NR
"Comverse Technology, Inc.",04/19/2006,E.D. New York,NASDAQ,CMVT
"Pixelplus Company, Ltd.",04/17/2006,S.D. New York,NASDAQ,PXPL
"Fairfax Financial Holdings, Ltd.",04/11/2006,S.D. New York,Undetermined,Undetermined
"Orphan Medical, Inc.",04/10/2006,D. Minnesota,NASDAQ,ORPH
"St. Jude Medical, Inc.",04/10/2006,D. Minnesota,New York SE,STJ
"American International Group, Inc. (AIG) : Shelf-Space Funds",04/07/2006,E.D. New York,Undetermined,Undetermined
"American Service Group, Inc.",04/06/2006,M.D. Tennessee,NASDAQ,ASGRE
Astea International Inc.,04/06/2006,E.D. Pennsylvania,NASDAQ,ATEA
GMH Communities Trust,04/05/2006,E.D. Pennsylvania,New York SE,GCT
TNS Inc.,04/04/2006,E.D. Virginia,New York SE,TNS
"Nature's Sunshine Products, Inc.",04/03/2006,D. Utah,NASDAQ,NATRE
"Sea Containers, Ltd.",03/31/2006,S.D. New York,New York SE,SCR.A
The Estee Lauder Companies Inc.,03/30/2006,S.D. New York,New York SE,EL
SAC Capital Management L.L.C. : Biovail Corporation Common Stock,03/24/2006,D. New Jersey,New York SE,BVF
"Merge Technologies, Inc.",03/22/2006,E.D. Wisconsin,NASDAQ,MRGE
"PainCare Holdings, Inc.",03/21/2006,M.D. Florida,OTC-BB,PRZ
"H&R; Block, Inc.",03/17/2006,W.D. Missouri,New York SE,HRB
"Northfield Laboratories, Inc.",03/17/2006,N.D. Illinois,NASDAQ,NFLD
PHH Corporation,03/17/2006,D. New Jersey,New York SE,PHH
"Bausch & Lomb, Inc.",03/13/2006,W.D. New York,New York SE,BOL
GrafTech International Limited,02/28/2006,D. Delaware,New York SE,GTI
"Micron Technology, Inc.",02/24/2006,D. Idaho,New York SE,MU
Chicago Bridge & Iron Co. NV,02/17/2006,S.D. New York,New York SE,CBI
"The Cooper Companies, Inc.",02/15/2006,C.D. California,New York SE,COO
NVE Corporation,02/10/2006,D. Minnesota,NASDAQ,NVEC
ProQuest Company,02/10/2006,E.D. Michigan,New York SE,PQE
"Coca-Cola Enterprises, Inc.",02/07/2006,N.D. Georgia,New York SE,CCE
Applica Incorporated,02/03/2006,S.D. Florida,New York SE,APN
"Omnicare, Inc.",02/02/2006,E.D. Kentucky,New York SE,OCR
"Take-Two Interactive Software, Inc.",02/01/2006,S.D. New York,NASDAQ,TTWO
Dot Hill Systems Corporation,01/31/2006,S.D. California,NASDAQ,HILL
Jarden Corporation,01/31/2006,S.D. New York,New York SE,JAH
"Repsol YPF, S.A.",01/31/2006,S.D. New York,New York SE,REP
"Refco Capital Markets, Limited",01/26/2006,S.D. New York,Privately Traded,Privately Traded
"Amkor Technology, Inc.",01/23/2006,D. Arizona,NASDAQ,AMKR
The Mills Corporation,01/20/2006,E.D. Virginia,New York SE,MLS
General Motors Corporation : General Motors Acceptance Corporation SmartNotes,01/13/2006,E.D. Michigan,Undetermined,Undetermined
"Impac Mortgage Holdings, Inc.",01/10/2006,C.D. California,New York SE,IMH
