filing_name,filing_date,district_court,exchange,ticker
Willis Towers Watson plc,11/21/2017,E.D. Virginia,NASDAQ,WLTW
Array Biopharma Inc.,11/20/2017,D. Colorado,NASDAQ,ARRY
Inventure Foods Incorporated,11/20/2017,D. Arizona,NASDAQ,SNAK
"Planet Payment, Inc.",11/20/2017,E.D. New York,NASDAQ,PLPM
"Tivity Health, Inc.",11/20/2017,M.D. Tennessee,NASDAQ,TVTY
"Acorda Therapeutics, Inc.",11/17/2017,S.D. New York,NASDAQ,ACOR
Gigamon Inc.,11/17/2017,N.D. California,New York SE,GIMO
"Ocera Therapeutics, Inc.",11/17/2017,N.D. California,NASDAQ,OCRX
"Broadsoft, Inc.",11/16/2017,D. Maryland,NASDAQ,BSFT
"Omega Healthcare Investors, Inc.",11/16/2017,S.D. New York,New York SE,OHI
"Meridian Bioscience, Inc.",11/15/2017,S.D. Ohio,NASDAQ,VIVO
Endo International plc,11/14/2017,E.D. Pennsylvania,NASDAQ,ENDP
"Dynamic Ledger Solutions, Inc. : Initial Coin Offering",11/13/2017,N.D. California,N.D. California,N.D. California
"Silver Spring Networks, Inc.",11/09/2017,N.D. California,New York SE,SSNI
Cheetah Mobile Inc.,11/08/2017,C.D. California,New York SE,CMCM
"Ruby Tuesday, Inc.",11/08/2017,E.D. Tennessee,New York SE,RT
Omega Protein Corporation,11/06/2017,D. Nevada,New York SE,OME
IXYS Corporation,11/03/2017,N.D. California,NASDAQ,IXYS
"Novan, Inc.",11/03/2017,M.D. North Carolina,NASDAQ,NOVN
"Vantiv, Inc.",11/03/2017,S.D. Ohio,New York SE,VNTV
Calgon Carbon Corporation,11/02/2017,D. Delaware,New York SE,CCC
General Electric Inc.,11/01/2017,S.D. New York,New York SE,GE
"Bob Evans Farms, Inc.",10/31/2017,D. Delaware,NASDAQ,BOBE
"Genocea Biosciences, Inc.",10/31/2017,D. Massachusetts,NASDAQ,GNCA
Ford Motor Company,10/30/2017,E.D. Michigan,New York SE,F
"H.C. Wainwright and Co., LLC: MannKind Corporation Common Stock",10/30/2017,C.D. California,NASDAQ,MNKD
Trivago N.V. : American Depository Shares,10/30/2017,S.D. New York,NASDAQ,TRVG
"Onvia, Inc.",10/27/2017,W.D. Washington,NASDAQ,ONVI
"XBiotech, Inc.",10/26/2017,W.D. Texas,NASDAQ,XBIT
Calpine Corporation,10/25/2017,S.D. Texas,New York SE,CPN
"Antares Pharma, Inc.",10/23/2017,D. New Jersey,NASDAQ,ATRS
Diana Containerships Inc.,10/23/2017,E.D. New York,NASDAQ,DCIX
Rio Tinto PLC : American Depositary Receipts,10/23/2017,S.D. New York,New York SE,RIO
Alcobra Ltd.,10/20/2017,E.D. Pennsylvania,NASDAQ,ADHD
"Rockwell Collins, Inc.",10/20/2017,N.D. Iowa,New York SE,COL
"Skechers U.S.A., Inc.",10/20/2017,S.D. New York,New York SE,SKX
Exa Corporation,10/17/2017,D. Massachusetts,NASDAQ,EXA
Spark Networks Inc,10/17/2017,C.D. California,New York SE,LOV
"Terraform Global, Inc.",10/17/2017,D. Maryland,NASDAQ,GLBL
Navient Corporation,10/16/2017,D. New Jersey,NASDAQ,NAVI
Bear State Financial Inc.,10/13/2017,E.D. Arkansas,NASDAQ,BSF
"Hawaiian Telcom Holdco, Inc.",10/13/2017,D. Hawaii,NASDAQ,HCOM
"J. Jill, Inc.",10/13/2017,D. Massachusetts,New York SE,JILL
"NeuStar, Inc.",10/12/2017,E.D. Virginia,New York SE,NSR
"Premara Financial, Inc.",10/12/2017,W.D. North Carolina,OTC-BB,PARA
"Santander Securities, L.L.C. : Puerto Rico Municipal Bonds and Puerto Rico Closed End Funds",10/12/2017,D. Puerto Rico,D. Puerto Rico,D. Puerto Rico
"Dimension Therapeutics, Inc.",10/11/2017,D. Massachusetts,NASDAQ,DMTX
"Orbital ATK, Inc.",10/11/2017,E.D. Virginia,New York SE,OA
"Tesla, Inc.",10/10/2017,N.D. California,NASDAQ,TSLA
"Bank of Napa, N.A.",10/06/2017,N.D. California,OTC-BB,BNNP
Numerex Corp.,10/04/2017,N.D. Georgia,NASDAQ,NMRX
Arc Logistics Partners LP,10/03/2017,S.D. New York,New York SE,ARCX
Starwood Waypoint Homes,09/29/2017,D. Maryland,New York SE,SFR
Tesco Corporation,09/28/2017,S.D. Texas,NASDAQ,TESO
"Cempra, Inc.",09/27/2017,M.D. North Carolina,NASDAQ,CEMP
"Intercept Pharmaceuticals, Inc.",09/27/2017,S.D. New York,NASDAQ,ICPT
SCANA Corporation,09/27/2017,D. South Carolina,New York SE,SCG
Frontier Communications Corporation,09/26/2017,D. Connecticut,NASDAQ,FTR
Avista Corporation,09/25/2017,E.D. Washington,New York SE,AVA
"Landauer, Inc.",09/25/2017,D. Delaware,New York SE,LDR
"Ubiquiti Networks, Inc.",09/25/2017,S.D. New York,NASDAQ,UBNT
"Sun Bancorp, Inc.",09/21/2017,D. New Jersey,NASDAQ,SNBC
Tech Data Corporation,09/21/2017,M.D. Florida,NASDAQ,TECD
"Westar Energy, Inc.",09/21/2017,D. Kansas,New York SE,WR
"Scripps Networks Interactive, Inc.",09/20/2017,E.D. Tennessee,NASDAQ,SNI
"Tintri, Inc.",09/18/2017,N.D. California,NASDAQ,TNTR
"Monster Digital, Inc.",09/15/2017,C.D. California,NASDAQ,MSDI
"MaxPoint Interactive, Inc.",09/14/2017,E.D. North Carolina,NASDAQ,MXPT
PharMerica Corporation,09/13/2017,D. Delaware,New York SE,PMC
"Health Insurance Innovations, Inc.",09/11/2017,M.D. Florida,NASDAQ,HIIQ
State National Companies Inc.,09/11/2017,N.D. Texas,NASDAQ,SNC
Equifax Inc.,09/08/2017,N.D. Georgia,New York SE,EFX
"First South Bancorp, Inc.",09/07/2017,E.D. North Carolina,NASDAQ,FSBK
"HSN, Inc.",09/07/2017,D. Delaware,NASDAQ,HSNI
"Kite Pharma, Inc.",09/07/2017,C.D. California,NASDAQ,KITE
"Xenith Bankshares, Inc.",09/07/2017,E.D. Virginia,NASDAQ,XBKS
Bank Mutual Corporation,09/06/2017,E.D. Wisconsin,NASDAQ,BKMU
"Wolverine Bancorp, Inc.",09/05/2017,D. Maryland,NASDAQ,WBKC
"Supreme Industries, Inc.",08/29/2017,D. Delaware,New York SE,STS
Volkswagen Aktiengesellschaft,08/29/2017,E.D. New York,OTC-BB,VLKAY
"Vitamin Shoppe, Inc.",08/28/2017,D. New Jersey,NASDAQ,VSI
Dr. Reddy's Laboratories Ltd.,08/25/2017,D. New Jersey,New York SE,RDY
"PetMed Express, Inc.",08/25/2017,S.D. Florida,NASDAQ,PETS
Top Ships Inc.,08/23/2017,E.D. New York,NASDAQ,TOPS
"Sevcon, Inc.",08/22/2017,D. Massachusetts,NASDAQ,SEV
XCerra Corp.,08/22/2017,D. Massachusetts,NASDAQ,XCRA
"Zillow Group, Inc.",08/22/2017,W.D. Washington,NASDAQ,Z
"ShoreTel, Inc.",08/21/2017,N.D. California,NASDAQ,SHOR
Teva Pharmaceutical Industries Ltd. : American Depository Shares,08/21/2017,D. Connecticut,New York SE,TEVA
"Depomed, Inc.",08/18/2017,N.D. California,NASDAQ,DEPO
Endo International PLC,08/18/2017,E.D. Pennsylvania,NASDAQ,ENDP
"Blue Apron Holdings, Inc.",08/17/2017,E.D. New York,New York SE,APRN
CDI Corp.,08/17/2017,E.D. Pennsylvania,New York SE,CDI
Rayonier Advanced Materials Inc.,08/17/2017,M.D. Florida,New York SE,RYAM
"Acacia Communications, Inc.",08/14/2017,D. Massachusetts,NASDAQ,ACIA
"Forterra, Inc.",08/14/2017,E.D. New York,NASDAQ,FRTA
"Guidance Software, Inc.",08/14/2017,C.D. California,NASDAQ,GUID
Park Sterling Corporation,08/14/2017,W.D. North Carolina,NASDAQ,PSTB
magicjack Vocaltec Ltd.,08/11/2017,S.D. Florida,NASDAQ,CALL
"Electronics For Imaging, Inc.",08/10/2017,D. New Jersey,NASDAQ,EFII
"TransDigm Group, Inc.",08/10/2017,N.D. Ohio,New York SE,TDG
"GlobalSCAPE, Inc.",08/09/2017,W.D. Texas,New York SE,GSB
"SciClone Pharmaceuticals, Inc.",08/09/2017,N.D. California,NASDAQ,SCLN
Sequans Communications S.A.,08/09/2017,E.D. New York,New York SE,SQNS
Southwest Bancorp Inc.,08/09/2017,W.D. Oklahoma,NASDAQ,OKSB
WebMD Health Corp.,08/09/2017,S.D. New York,NASDAQ,WBMD
"ClubCorp Holdings, Inc.",08/08/2017,D. Nevada,New York SE,MYCC
Sparton Corporation,08/08/2017,N.D. Ohio,New York SE,SPA
"Applied Optoelectronics, Inc.",08/05/2017,S.D. Texas,NASDAQ,AAOI
Envision Healthcare Corporation,08/04/2017,M.D. Tennessee,New York SE,EVHC
First Potomac Realty Trust,08/04/2017,D. Maryland,New York SE,FPO
"Maximus, Inc.",08/04/2017,E.D. Virginia,New York SE,MMS
"Monogram Residential Trust, Inc.",08/04/2017,D. Maryland,New York SE,MORE
Rocket Fuel Inc.,08/04/2017,N.D. California,NASDAQ,FUEL
"Staples, Inc.",08/04/2017,D. Massachusetts,NASDAQ,SPLS
"TechnipFMC, plc",08/03/2017,S.D. Texas,New York SE,FTI
The Advisory Board Company,08/03/2017,D. District Columbia,NASDAQ,ABCO
"Bankrate, Inc.",08/02/2017,S.D. New York,New York SE,RATE
"Parkway, Inc.",08/02/2017,S.D. Texas,New York SE,PKY
"Rice Energy, Inc.",08/02/2017,D. Delaware,NASDAQ,RICE
"WashingtonFirst Bankshares, Inc.",08/01/2017,E.D. Virginia,NASDAQ,WFBI
"Foundation Medicine, Inc.",07/28/2017,D. Massachusetts,NASDAQ,FMI
Intellipharmaceutics International Inc.,07/28/2017,S.D. New York,NASDAQ,IPCI
"Tableau Software, Inc.",07/27/2017,S.D. New York,New York SE,DATA
"West Marine, Inc.",07/27/2017,D. Delaware,NASDAQ,WMAR
Zebra Technologies Corporation,07/26/2017,E.D. New York,NASDAQ,ZBRA
"MRV Communications, Inc.",07/24/2017,C.D. California,NASDAQ,MRVC
PAREXEL International Corporation,07/24/2017,D. Massachusetts,NASDAQ,PRXL
"ARI Network Services, Inc.",07/21/2017,E.D. Wisconsin,NASDAQ,ARIS
Nutraceutical International,07/21/2017,D. Utah,NASDAQ,NUTR
The Spectranetics Corporation,07/21/2017,D. Colorado,NASDAQ,SPNC
Apigee Corporation,07/20/2017,N.D. California,NASDAQ,APIC
"Chipotle Mexican Grill, Inc.",07/20/2017,D. Colorado,New York SE,CMG
"Jaguar Animal Health, Inc.",07/20/2017,N.D. California,NASDAQ,JAGX
"Lexmark International, Inc.",07/20/2017,S.D. New York,New York SE,LXK
"NCI, Inc.",07/19/2017,E.D. Virginia,NASDAQ,NCIT
"Angie's List, Inc.",07/18/2017,S.D. Indiana,NASDAQ,ANGI
"DuPont Fabros Technology, Inc.",07/18/2017,D. District Columbia,New York SE,DFT
Capital Bank Financial Corp.,07/17/2017,W.D. North Carolina,NASDAQ,CBF
"ASB Bancorp, Inc.",07/14/2017,W.D. North Carolina,NASDAQ,ASBB
Dryships Inc.,07/14/2017,E.D. New York,NASDAQ,DRYS
"EnerNOC, Inc.",07/14/2017,D. Massachusetts,New York SE,ENOC
Arconic Inc.,07/13/2017,S.D. New York,New York SE,ARNC
"Whole Foods Market, Inc.",07/13/2017,W.D. Texas,NASDAQ,WFM
Albany Molecular Research Inc.,07/11/2017,N.D. New York,NASDAQ,AMRI
"HD Supply Holdings, Inc.",07/10/2017,N.D. Georgia,NASDAQ,HDS
"Inc Research Holdings, Inc.",07/10/2017,D. Delaware,NASDAQ,INCR
"Ocular Therapeutix, Inc.",07/07/2017,D. Massachusetts,NASDAQ,OCUL
Tahoe Resources Inc.,07/07/2017,D. Nevada,New York SE,TAHO
Tribune Media Company,07/07/2017,D. Delaware,New York SE,TRCO
OCB Bancorp,07/05/2017,C.D. California,OTC-BB,OJCB
Quadrant 4 System Corp.,07/05/2017,D. New Jersey,OTC-BB,QFOR
Sinovac Biotech Ltd.,07/03/2017,D. New Jersey,NASDAQ,SVA
"Rightside Group, Ltd.",06/30/2017,W.D. Washington,NASDAQ,NAME
Xactly Corporation,06/30/2017,N.D. California,New York SE,XTLY
B Communications Ltd.,06/29/2017,S.D. New York,NASDAQ,BCOM
"Care Capital Properties, Inc.",06/29/2017,D. Delaware,New York SE,CCP
"Pershing Square Capital Management, L.P. : Allergan, Inc. Derivative Securities",06/28/2017,C.D. California,NASDAQ,AGN
ZTO Express (Cayman) Inc. : American Depository Shares,06/28/2017,N.D. Alabama,New York SE,ZTO
"Mattel, Inc.",06/27/2017,C.D. California,NASDAQ,MAT
Weibo Corporation,06/27/2017,D. New Jersey,NASDAQ,WB
Felcor Lodging Trust Incorporated,06/26/2017,D. Maryland,New York SE,FCH
West Corporation,06/26/2017,D. Nebraska,NASDAQ,WSTC
"Atwood Oceanics, Inc.",06/23/2017,S.D. Texas,New York SE,ATW
Pingtan Marine Enterprise Ltd.,06/23/2017,E.D. New York,NASDAQ,PME
"Axiom Holdings, Inc.",06/22/2017,S.D. New York,OTC-BB,AIOM
"CenturyLink, Inc.",06/21/2017,D. Minnesota,New York SE,CTL
Covisint Corp.,06/20/2017,E.D. Michigan,NASDAQ,COVS
"Threshold Pharmaceuticals, Inc.",06/20/2017,N.D. California,NASDAQ,THLD
Booz Allen Hamilton Holding Corporation,06/19/2017,E.D. Virginia,New York SE,BAH
Patheon N.V.,06/19/2017,S.D. New York,New York SE,PTHN
Aaron's Inc.,06/16/2017,N.D. Georgia,New York SE,AAN
HCSB Financial Corporation,06/16/2017,D. South Carolina,OTC-BB,HCFB
Reynolds American Inc.,06/16/2017,M.D. North Carolina,New York SE,RAI
"Sky Solar Holdings, Ltd. : American Depositary Shares",06/16/2017,S.D. New York,NASDAQ,SKYS
"FleetCor Technologies, Inc.",06/14/2017,N.D. Georgia,New York SE,FLT
CardConnect Corp.,06/13/2017,E.D. Pennsylvania,NASDAQ,CCN
"Avinger, Inc.",06/12/2017,N.D. California,NASDAQ,AVGR
VWR Corporation,06/12/2017,E.D. Pennsylvania,NASDAQ,VWR
CU Bancorp,06/09/2017,C.D. California,NASDAQ,CUNB
Mazor Robotics Ltd.,06/09/2017,S.D. New York,NASDAQ,MZOR
Cabela's Incorporated,06/07/2017,D. Delaware,New York SE,CAB
Roche Holding AG,06/06/2017,D. New Jersey,OTC-BB,RHHBY
"Akorn, Inc.",06/02/2017,N.D. Illinois,NASDAQ,AKRX
Alon USA Energy Inc.,06/02/2017,D. Delaware,New York SE,ALJ
"C. R. Bard, Inc.",06/02/2017,D. New Jersey,New York SE,BCR
"Delek US Holdings, Inc.",06/02/2017,M.D. Tennessee,New York SE,DK
Forestar Group Inc.,06/02/2017,W.D. Texas,New York SE,FOR
"Intrawest Resorts Holdings, Inc.",06/02/2017,D. Colorado,New York SE,SNOW
Jagged Peak Energy Inc.,06/02/2017,D. Colorado,New York SE,JAG
"OneBeacon Insurance Group, Ltd.",06/02/2017,D. Minnesota,New York SE,OB
Panera Bread Co.,06/02/2017,E.D. Missouri,NASDAQ,PNRA
Asanko Gold Inc.,05/31/2017,E.D. New York,New York SE,AKG
Kate Spade & Company,05/31/2017,S.D. New York,New York SE,KATE
Swift Transportation Company,05/31/2017,D. Arizona,New York SE,SWFT
Nexvet Biopharma Public Limited Company,05/30/2017,N.D. California,NASDAQ,NVET
"Zoompass Holdings, Inc.",05/30/2017,D. New Jersey,OTC-BB,ZPAS
General Motors Company,05/27/2017,E.D. Michigan,New York SE,GM
BNC Bancorp,05/25/2017,M.D. North Carolina,NASDAQ,BNCN
"Span-America Medical Systems, Inc.",05/25/2017,D. South Carolina,NASDAQ,SPAN
"Eco Science Solutions, Inc.",05/24/2017,D. New Jersey,OTC-BB,ESSI
"KCG Holdings, Inc.",05/19/2017,S.D. New York,New York SE,KCG
"MOCON, Inc.",05/18/2017,D. Minnesota,NASDAQ,MOCO
"Tangoe, Inc.",05/18/2017,D. Connecticut,OTC-BB,TNGO
"TRC Companies, Inc.",05/18/2017,D. Connecticut,New York SE,TRR
"Neurotrope, Inc.",05/17/2017,S.D. New York,NASDAQ,NTRP
"Dick's Sporting Goods, Inc.",05/16/2017,S.D. New York,New York SE,DKS
"Jive Software, Inc.",05/16/2017,N.D. California,NASDAQ,JIVE
"Sajan, Inc.",05/16/2017,W.D. Wisconsin,NASDAQ,SAJA
"Snap, Inc.",05/16/2017,C.D. California,New York SE,SNAP
"AdvancePierre Foods Holdings, Inc.",05/12/2017,S.D. Ohio,New York SE,APFH
"Akari Therapeutics, Plc",05/12/2017,S.D. New York,NASDAQ,AKTX
"Intra-Cellular Therapies, Inc.",05/12/2017,E.D. New York,NASDAQ,ITCI
United Technologies Corporation,05/12/2017,S.D. New York,New York SE,UTX
Baker Hughes Incorporated,05/10/2017,S.D. Texas,New York SE,BHI
Barrick Gold Corporation,05/10/2017,S.D. New York,New York SE,ABX
"Rackspace Hosting, Inc.",05/10/2017,S.D. New York,New York SE,RAX
"UCP, Inc.",05/10/2017,N.D. California,New York SE,UCP
Hongli Clean Energy Technologies Corp.,05/08/2017,D. New Jersey,OTC-BB,CETC
"Puma Biotechnology, Inc.",05/08/2017,C.D. California,NASDAQ,PBYI
Innocoll Holdings plc,05/07/2017,E.D. Pennsylvania,NASDAQ,INNL
Live Ventures Incorporated,05/05/2017,D. Nevada,NASDAQ,LIVE
Vince Holding Corp.,05/05/2017,E.D. New York,New York SE,VNCE
Anadarko Petroleum Corporation,05/03/2017,S.D. Texas,New York SE,APC
"DigitalGlobe, Inc.",05/03/2017,D. Colorado,New York SE,DGI
"KBR, Inc.",05/03/2017,S.D. Texas,New York SE,KBR
"PCM, Inc.",05/03/2017,C.D. California,NASDAQ,PCMI
Sunrun Inc.,05/03/2017,S.D. California,NASDAQ,RUN
United States Steel Corporation,05/03/2017,W.D. Pennsylvania,New York SE,X
"ADMA Biologics, Inc.",05/02/2017,D. New Jersey,NASDAQ,ADMA
"ImmunoCellular Therapeutics, Ltd.",05/01/2017,C.D. California,New York SE,IMUC
"Synchronoss Technologies, Inc.",05/01/2017,D. New Jersey,NASDAQ,SNCR
Catalyst Capital Advisors LLC : Catalyst Hedged Futures Strategy Fund,04/28/2017,E.D. New York,Open-end Fund,HFXAX
"Delta Natural Gas Company, Inc.",04/28/2017,E.D. Kentucky,NASDAQ,DGAS
"RetailMeNot, Inc.",04/26/2017,D. Delaware,NASDAQ,SALE
"Citizens Financial Group, Inc.",04/25/2017,S.D. New York,New York SE,CFG
Ocwen Financial Corporation,04/21/2017,S.D. Florida,New York SE,OCN
"Amyris, Inc.",04/20/2017,N.D. California,NASDAQ,AMRS
"Celadon Group, Inc.",04/19/2017,S.D. New York,New York SE,CGI
Exar Corporation,04/18/2017,N.D. California,New York SE,EXAR
"Alliance MMA, Inc.",04/17/2017,D. New Jersey,NASDAQ,AMMA
"TherapeuticsMD, Inc.",04/17/2017,S.D. Florida,New York SE,TXMD
"Lion Biotechnologies, Inc.",04/14/2017,N.D. California,NASDAQ,LBIO
